Title,ID_NumRevista,ID_Autor
Al Sr. D. R. P. Enviándole mis obras,1,9.0
La mujer piadosa (Fragmentos),1,10.0
Desvarío,1,11.0
"Soneto. ""¡Gloria y pobreza! El inmortal Quintana...""",1,12.0
Balada. La despedida de una hija,1,13.0
Un viaje a la Luna. Prólogo: La pesadilla de Mocquet,2,6.0
En el álbum de la señora M…,2,9.0
La primavera,2,14.0
La perejilera,2,15.0
Un viaje a la Luna. (Continuación),3,6.0
Al señor Don B. M.,3,3.0
A orillas del Manzanares. La súplica,3,4.0
Un viaje a la Luna. (Continuación),4,6.0
Fragmentos de la Rosa de Alejandra,4,9.0
Gente morena,4,15.0
Un viaje a la Luna. (Continuación),5,6.0
"Al excmo. Sr. D. Agustín Esteban Collantes, en el día de su santo",5,4.0
"A la niña Margarita Aurora de Wilson y Serrano, el día de su cumpleaños",5,4.0
Costumbres del siglo XIX. I,7,16.0
Margarita. Novela bretona,7,3.0
Los escondidos y la tapada. Fragmentos,7,9.0
A mi apreciable amiga la Señora doña M. Del Pilar Sinués de Marco en su álbum,7,3.0
Costumbres del siglo XIX.II,8,16.0
Margarita. Novela bretona. (Continuación),8,3.0
A la niña Margarita Aurora de Wilson y Serrano,8,14.0
A María,8,17.0
A su Alteza Real el Príncipe de Asturias,9,3.0
Margarita. Novela bretona. (Conclusión),9,3.0
El otoño,9,14.0
"Soneto. ""Aún eco tienen en el alma mía...""",9,18.0
Atentado contra SS. MM. II.,10,3.0
"""El matrimonio de la Princesa real de Inglaterra [...]""- ""Hace algunos años que un banquero muy rico [...]""-""Varios periódicos franceses y del extranjero [...]""",10,3.0
A la Poesía. Oda,10,19.0
A mi buen amigo el distinguido escritor don Alejandro Dumas en prueba de sincera amistad,10,3.0
A la luna. Soneto,10,20.0
Las apariencias engañan. Historia-cuento,11,3.0
"""El viaje de SS. AA. [...]""-""El sábado a la una [...]""-""El príncipe Mirza-Ally-Kan-Bahadoor [...]""-""Habláse mucho en los círculos aristocrático de un matrimonio [...]""",11,3.0
El invierno,11,14.0
La hada azul,12,21.0
"""El lunes 5 del corriente se ha inaugurado [...]""-""Vamos a contar una historia ocurrida en estos días de Pascua""-""Cuando Ismail, generalísimo del ejército otomano [...]""",12,3.0
El navío Leviatán,12,8.0
Ayes del corazón,12,10.0
Carta de M. de Lamartine,13,22.0
Introducción,13,5.0
Isabel II,13,3.0
Hamlet,13,23.0
"""Lo que cada lector pide [...]""-La trata de blancas-De la decadencia de las costumbres-""La Malibran recibía en Londres [...]""-""El gobierno del Brasil [...]""",13,5.0
"""Consignamos la acarta original qu enos ha dirigido M. de Lamartine [...]""",14,22.0
Porvenir de la raza latina y de la Francia en el Nuevo-Mundo. Introducción,14,5.0
Confederación Argentina y república del Uruguay-Le Paraguay,14,5.0
S. M. La emperatriz de los franceses,14,3.0
Cursos familiares de literatura. La pintura,14,22.0
El perro de Zurbarán,14,24.0
Serenatas. Introducción. (Fragmentos),14,9.0
"Lo que viene a ser un periodista inglés-""Ha sucedido en los alrededores de Filadelfia [...]""-Máximas",14,5.0
"Recuerdo. Un baile en el hotel de Ville, en 1859",15,25.0
Abertura del Paraguay y de los ríos,15,5.0
La Escma. Sra. Dª Gertrudis Gómez de Avellaneda,15,3.0
El 20 de marzo,15,5.0
Cursos familiares de literatura. Leopoldo Robert,15,22.0
Leyenda pastoral,15,25.0
La dalia,15,18.0
"""Leemos en el Monitor  [...]""-""Según el 'Anuario diplomático de 1859' [...]""-""Hace algunas semanas que los diarios del Alto y del Bajo Rin [...]""-""He aquí la siguiente anécdota [...]""-""Un curioso ha dicho [...]""-""El matrimonio del hijo mayor [...]""-Savonnette a vilain",15,5.0
Carta de Ramón de la Sagra,16,26.0
Artículo I. Los Estados-Unidos y el Paraguay,16,5.0
Costumbres andaluzas. Los dos marineros,16,25.0
Viaje por un vestido de boda,16,3.0
SS. AA. II el príncipe y la princesa Napoleón,16,3.0
El miércoles de ceniza,16,27.0
Cursos familiares de literatura. Leopoldo Robert. (Conclusión),16,22.0
"""Pues que en nuestros días se hacen tantos adelantos en la fotografía [...]""-""Acaba de llegar de San Petesburgo [...]""-""El Entreacto publica un acarta fechada en Génova [...]""",16,5.0
Memorándum especial por la guerra de Italia,17,5.0
Introducción,17,25.0
Pbro. D. Félix Varela,17,28.0
Las flores de mayo,17,23.0
A la catedral de Bron,17,3.0
,17,25.0
Viaje al rededpr de un vestido de boda. (Conclusiones),17,3.0
Artículo II. Los Estados-Unidos y el Paraguay,17,5.0
Una de tantas,17,4.0
"""Para que se vea cómo los principales intereses y amortización de la Deuda pública [...]""",17,5.0
Carta de M. Alejandro Dumas,18,6.0
Carta del Sr. Guillemot,18,5.0
Napoleón III,18,5.0
Víctor Manuel II,18,5.0
El oso,18,25.0
Poesía. A mi amigo Mariano G. Manrique,18,25.0
Perfil inglés,18,29.0
La ostra,19,25.0
Poesía. A Napoleón III,19,25.0
A una tumba en el cementerio de Montmartre. (Fragmento),19,3.0
Consideraciones sobre los vestidos,19,30.0
Gran batalla de Solferino,19,5.0
Memorándum especial por la guerra de Italia,20,5.0
Batalla de Solferino. El emperador a la emperatriz,20,31.0
Ejército de Italia. Proclama,20,31.0
La entrevista de Villafranca. Nuevos detalles,20,31.0
"El mariscal Vaillant, mayor general del ejército de Italia",20,5.0
Poesía. Costumbres andaluzas. Un baile de candil,20,25.0
A S. M. el emperador Napoleón III (Fragmentos),20,3.0
Mi fotografía,20,4.0
El festín de Baltasar. Estudio bíblico,20,25.0
Quién es el...,20,3.0
"""La primera quincena del mes de agosto [… ]""",21,5.0
El general Garibaldi,21,3.0
En sus días,21,3.0
A la Señora Doña Emilia Serrano de Wilson en débil muestra de aprecio,21,32.0
Offland,21,65.0
La señorita doña María Verdejo y Durán,22,14.0
Una cifra en un ciprés,22,33.0
María Leczinska,22,21.0
Composición de la ópera Otello por Rossini,22,34.0
El robo del niño de la señora Hua,22,3.0
La señora doña Carolina Coronado,23,3.0
La granadina. Marcha guerrera,23,3.0
El genio,23,8.0
María Leczinska,23,21.0
El coro de los ángeles,23,35.0
El kaleidescopio,25,3.0
El duelo de las mujeres,25,36.0
Los secretos de la hermosura,25,3.0
A la niña Adelaida. En su día,26,37.0
Esther,26,38.0
Origen de algunos instrumentos. La guitarra,26,39.0
Tetuán,26,3.0
El duelo de las mujeres. (Continuación.),26,36.0
Secretos de la hermosura. (Continuación),26,3.0
L a vuelta de la golondrina. (Fragmentos),27,3.0
El duelo de las mujeres. (Continuación.),27,36.0
Secretos de la hermosura. (Continuación),27,3.0
El sauce,28,40.0
Balada,28,40.0
El duelo de las mujeres. (Continuación.),28,36.0
La hermana de Velázquez,28,14.0
La cuaresma del amor,28,41.0
Lo mejor de una niña,29,15.0
El duelo de las mujeres. (Continuación.),29,36.0
El museo viviente: colección de cuadros sociales. Cuadro primero: doña Eulogia,29,42.0
La hermana de Velázquez,29,14.0
La oliva. A la paz entre España y Marruecos,30,40.0
Descripción del teatro de D. José Piquer,30,3.0
El duelo de las mujeres. (Continuación.),30,36.0
La hermana de Velázquez,30,14.0
El ángel de la inclusa,30,43.0
Los espejos mágicos. Cuento fantástico,31,44.0
Cartas de Cuba. Cojimar,31,45.0
"""Días pasados se hallaba en el bosque [...]""- ""La ópera de Verdi [...]""-""El marqués de Casa-Riera [...]""-""No podemos resistir el deseo de copiar [...]""",31,3.0
La  cama de matrimonio. Balada,32,46.0
Las dos tumbas. Dolora,32,47.0
A Colón,32,3.0
Una madre,32,8.0
Un baile de manga larga,32,41.0
La heredad bendecida,32,3.0
Esto y aquello,32,40.0
Macahé,32,3.0
A Emilia. En su álbum,33,14.0
La ascensión del Señor,33,3.0
Una madre,33,8.0
Cartas de Cuba. El conuco del indio,33,45.0
Amor y fe,33,48.0
Las dos rosas,33,3.0
Griseldina,33,49.0
A mi sobrina Araceli Abril de Armendi,34,50.0
El mensage,34,51.0
Griseldina,34,49.0
Cartas de Cuba. El conuco del indio,34,45.0
Una caricia puede curar un defecto,34,52.0
Sin princpio ni fin.,34,48.0
La felicidad,34,14.0
En el álbum de una niña,35,12.0
El arte. Oda,35,3.0
A una dama muy galanteada. En su álbum,35,53.0
Sin princpio ni fin. Novela de costumbres contemporáneas,35,48.0
La felicidad,35,14.0
Periquito el Veleidoso,35,3.0
Cartas de Cuba (III). El conuco del indio,35,45.0
A Santo Domingo,36,3.0
El toque de la oración,36,15.0
Soledad,36,45.0
Sin princpio ni fin. Novela de costumbres contemporáneas,36,48.0
Los bailes campestres en Santander,36,52.0
Periquito el Veleidoso (Conclusion),36,3.0
Duelos de amor,36,43.0
"""Allende los mares mora [...]""",37,50.0
A la señora doña Emila Serrano de Wilson en su álbum,37,44.0
En el álbum de la señorita J. R.,37,53.0
Carta,37,41.0
Cada cual en su lugar,37,3.0
Duelos de amor (Conclusión.),37,43.0
Rolandseck. Tradición,37,3.0
Secretos del tocador,37,3.0
La madre de la marquesa,38,54.0
Poesía,38,52.0
Ilusión. A el...,38,3.0
La violeta. Soneto,38,44.0
La verdad del sentimiento,38,40.0
De la poesía. Su oportunidad y su objeto,38,55.0
Cada cual en su lugar (Conclusión.),38,3.0
Viaje de SS. MM.,38,52.0
Mariquita,38,3.0
"""Entre las aventuras numerosas [...]""-""Cuando el general Bonaparte [...]""-""Es notable lo siguiente [...]""",38,3.0
La madre de la marquesa (Continuación),39,54.0
El sargento Pérez. Episodio de dominación francesa en Santo Domingo,39,3.0
Sin princpio ni fin. Novela de costumbres contemporáneas,39,48.0
Los pájaros,39,3.0
Una flor,39,45.0
La moneda de oro,39,3.0
"Matrimonios por anuncios-Los baños de Biarritz-""Hace pocos días [...]""",39,3.0
La madre de la marquesa (Continuación),40,54.0
A Sevilla,40,44.0
"Soneto. ""Un año más [...]""",40,56.0
Carta I. Monserrat,40,14.0
La moneda de oro,40,3.0
Un paseo por el lago negro,40,3.0
La feria de Ucles,40,43.0
La madre de la marquesa (Continuación),41,54.0
Fábula. El cabello suelto,41,46.0
Carta II. Valencia,41,14.0
La feria de Ucles,41,43.0
De la poesía. Su oportunidad y su objeto,41,55.0
La moneda de oro,41,3.0
"""Una duquesa octogenaria [...]""-""La señora de J [...]""-""El señor X [...]""-""Una aldeana enriquecida [...]""",41,3.0
La escalera,42,40.0
Carta III. Barcelona,42,14.0
La moneda de oro (Conclusión),42,3.0
El Brasil,13,57.0
El alma de dudas,13,58.0
El istmo de Panamá,14,59.0
Una peregrinación a Saint-Point,14,60.0
Sin destinos no hay amigos. Proverbio en tres cuadros,15,61.0
El sombrero del emperador de Austria,19,64.0
El amor,26,69.0
Feria en Sevilla,35,72.0
,17,
El lentigo. De su tratamiento,17,
En la primera página de un álbum,18,63.0
El mundo para unos. Soneto,18,63.0
El mundo para otros. Soneto,18,63.0
Última hora,18,
Francisco José. Emperador del Austria,19,
"""Constituido ya oficialmente el nuevo Ministerio Inglés"" [...]",19,
Parte oficial publicado por el Monitor de París sobre la atalla de Solferino,20,
"Censo aproximativo-""En un periódico se lee lo siguiente [...]""-Invento-Histórico",20,
Al señor de N. y la señora ***,21,67.0
El fauno de Goysevox,21,66.0
El prólogo. Episodio,21,
El collar,22,68.0
El cabello rubio,27,70.0
La esposa del sol,28,
"Inauguración del teatro de D. José Piquer-Oda ""Alzad vuestras tumbas [...]""",29,3.0
Estudios sobre los primeros tiempos de la Rusia,32,
Estudios sobre los primeros tiempos de la Rusia. (Conclusión.),33,
A Safo,42,
Abnegación,42,
Sombreros de Alexandrine,3,
Sombreros d'Alexandrine,4,
Sombreros De Alexandrine,5,
Sombreros De Alexandrine,7,
Sombreros d'Alexandrine,9,
Sombreros d'Alexandrine,10,
Sombreros d'Alexandrine,11,
"""En la perfumería de Planchais [...]""",11,
"""Recomendamos a nuestros lectores los pianos [...]""",11,
"""Casa de comisión para París [...]""",11,
"""Las enfermedades del pecho [...]""",11,
"""Prevenimos a nuestros lectores [...]""",12,
Sombreros d'Alexandrine y Corsets Plastiques Mme. Bonvallet,12,
"""Se alquila una lindísima habitación [...]""",12,
Casas recomendadas y artículos en voga,13,
"Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",13,
Casas recomendadas,14,
"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",14,
Lait antephelique. Pecas y manchas de la cara,14,
"Camisas Claudio, Hermanos",14,
Tintura inglesa instantánea,14,
Casa particular de Huéspedes,14,
Casa Delacroix,14,
"Jules Bloch, dentista",14,
La Gaceta de Bellas Artes,15,
Pecas y manchas de la cara,15,
Casas recomendadas,15,
Porta-monedas Despierres,15,
Tarifs des insertions,15,
"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",15,
"Camisas Claudio, Hermanos",15,
Nueva Geografía Sangansan,15,
Casa particular de Huéspedes,15,
Casa Delacroix,15,
"Jules Bloch, dentista",15,
Platería Cristofle,15,
Casas recomendadas,16,
Tarifs des insertions,16,
"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",16,
